Fecha,TDV Control-2L(µm) P14,TDV Control-2L (µm) P15,TDV 45SDI-2L (µm) P6,TDV 45SDI-2L (µm) P11
2016-08-01 12:29:59.933,-38.90000000000009,770,-442.5,-148.69999999999982
2016-08-01 12:44:59.933,-71.10000000000036,733.3999999999996,-463.5,-182.80000000000018
2016-08-01 12:59:59.933,-105.10000000000036,701.3000000000002,-482,-221.5
2016-08-01 13:14:59.933,-140.9000000000001,669.8000000000002,-496.5,-262.8000000000002
2016-08-01 13:29:59.933,-177.4000000000001,638.3999999999996,-522.6999999999998,-307.5999999999999
2016-08-01 13:44:59.933,-206.5,606.3000000000002,-544.1999999999998,-351.5999999999999
2016-08-01 13:59:59.933,-238,566.3999999999996,-564,-383.5999999999999
2016-08-01 14:14:59.933,-272,535,-578,-408.3000000000002
2016-08-01 14:29:59.933,-302.9000000000001,491.3000000000002,-594.5,-434.3000000000002
2016-08-01 14:44:59.933,-338.2000000000003,447.6999999999998,-609.0999999999999,-454.9000000000001
2016-08-01 14:59:59.933,-371.5,400.8000000000002,-623.7999999999997,-472.3000000000002
2016-08-01 15:14:59.933,-401.2000000000003,350.10000000000036,-633.9000000000001,-483.6999999999998
2016-08-01 15:29:59.933,-429.60000000000036,296.8000000000002,-639,-499
2016-08-01 15:44:59.933,-456.8000000000002,243.5999999999999,-643.4000000000001,-511
2016-08-01 15:59:59.933,-485.2000000000003,194.0999999999999,-640.2999999999997,-523
2016-08-01 16:14:59.933,-506.2000000000003,148.5,-641.5,-538.4000000000001
2016-08-01 16:29:59.933,-523.6000000000004,119,-633.9000000000001,-556.4000000000001
2016-08-01 16:44:59.933,-537.7000000000003,94,-630.0999999999999,-567.6999999999998
2016-08-01 16:59:59.933,-542.1000000000004,84.30000000000018,-620.5,-568.4000000000001
2016-08-01 17:14:59.933,-545.8000000000002,83,-606,-565.6999999999998
2016-08-01 17:29:59.933,-537.7000000000003,95.90000000000009,-587.5,-562.4000000000001
2016-08-01 17:44:59.933,-522.3000000000002,113.19999999999982,-571.6999999999998,-557
2016-08-01 17:59:59.933,-500.60000000000036,128,-550.6999999999998,-545.6999999999998
2016-08-01 18:14:59.933,-474.7000000000003,145.4000000000001,-535.4000000000001,-527
2016-08-01 18:29:59.933,-441.3000000000002,168.5,-518.7999999999997,-507
2016-08-01 18:44:59.933,-413.5,197.4000000000001,-498.5,-487.6999999999998
2016-08-01 18:59:59.933,-368.4000000000001,230.69999999999982,-487.6999999999998,-455.6999999999998
2016-08-01 19:14:59.933,-325.7000000000003,269.1999999999998,-465.4000000000001,-422.9000000000001
2016-08-01 19:29:59.933,-280,309.10000000000036,-447,-384.9000000000001
2016-08-01 19:44:59.933,-234.30000000000018,343.6999999999998,-429.1999999999998,-345.5999999999999
2016-08-01 19:59:59.933,-190.4000000000001,385.39999999999964,-403.0999999999999,-309.5999999999999
2016-08-01 20:14:59.933,-151.4000000000001,426.60000000000036,-390.4000000000001,-272.1999999999998
2016-08-01 20:29:59.933,-113.80000000000018,458.60000000000036,-373.9000000000001,-244.19999999999982
2016-08-01 20:44:59.933,-82.80000000000018,492,-358,-218.19999999999982
2016-08-01 20:59:59.933,-48.20000000000027,524.1000000000004,-343.9000000000001,-192.0999999999999
2016-08-01 21:14:59.933,-20.40000000000009,554.3000000000002,-328.0999999999999,-174.69999999999982
2016-08-01 21:29:59.933,6.699999999999818,580.6000000000004,-311.5,-153.5
2016-08-01 21:44:59.933,30.299999999999727,608.1999999999998,-303.9000000000001,-134.69999999999982
2016-08-01 21:59:59.933,53.79999999999973,633.3000000000002,-292.4000000000001,-122.09999999999991
2016-08-01 22:14:59.933,69.79999999999973,654.3999999999996,-282.9000000000001,-109.5
2016-08-01 22:29:59.933,89.59999999999991,678.1999999999998,-272.1999999999998,-98.69999999999982
2016-08-01 22:44:59.933,104.39999999999964,696.1999999999998,-266.5,-86.09999999999991
2016-08-01 22:59:59.933,121.09999999999991,717.3999999999996,-260,-77.40000000000009
2016-08-01 23:14:59.933,134.69999999999982,730.1999999999998,-253.0999999999999,-70.09999999999991
2016-08-01 23:29:59.933,147.69999999999982,743,-248,-59.40000000000009
2016-08-01 23:44:59.933,161.29999999999973,755.1999999999998,-244.19999999999982,-50
2016-08-01 23:59:59.933,168.0999999999999,771.8999999999996,-239.79999999999973,-46.69999999999982
2016-08-02 00:14:59.933,180.5,782.1999999999998,-238.4000000000001,-37.40000000000009
2016-08-02 00:29:59.933,192.89999999999964,793.6999999999998,-232.69999999999982,-32
2016-08-02 00:44:59.933,199.5999999999999,804.1000000000004,-232.69999999999982,-26
2016-08-02 00:59:59.933,205.19999999999982,808.5,-230.79999999999973,-22
2016-08-02 01:14:59.933,215.0999999999999,815.6000000000004,-227,-18.699999999999818
2016-08-02 01:29:59.933,223.0999999999999,822.6000000000004,-222.5999999999999,-8.599999999999909
2016-08-02 01:44:59.933,233,834.1999999999998,-216.0999999999999,-1.400000000000091
2016-08-02 01:59:59.933,239.79999999999973,841.3000000000002,-215.5,4
2016-08-02 02:14:59.933,246.5999999999999,848.3999999999996,-213.5999999999999,9.400000000000091
2016-08-02 02:29:59.933,252.19999999999982,854.1000000000004,-209.19999999999982,14
2016-08-02 02:44:59.933,258.2999999999997,859.8999999999996,-206.5999999999999,19.40000000000009
2016-08-02 02:59:59.933,259.5999999999999,865,-200.29999999999973,24
2016-08-02 03:14:59.933,270.6999999999998,872.6999999999998,-200.9000000000001,30.59999999999991
2016-08-02 03:29:59.933,276.89999999999964,878.5,-193.29999999999973,36
2016-08-02 03:44:59.933,286.1999999999998,885,-188.19999999999982,44.59999999999991
2016-08-02 03:59:59.933,291.6999999999998,891.3000000000002,-183.0999999999999,50
2016-08-02 04:14:59.933,297.89999999999964,897.1000000000004,-180.5999999999999,52.59999999999991
2016-08-02 04:29:59.933,305.2999999999997,901.6000000000004,-177.4000000000001,60.59999999999991
2016-08-02 04:44:59.933,312.0999999999999,908.1000000000004,-174.9000000000001,68
2016-08-02 04:59:59.933,315.2999999999997,915.8000000000002,-171.0999999999999,70.69999999999982
2016-08-02 05:14:59.933,320.7999999999997,920.1999999999998,-166,73.40000000000009
2016-08-02 05:29:59.933,324.5,923.5,-163.5,76
2016-08-02 05:44:59.933,328.1999999999998,926.6000000000004,-161.5,80.69999999999982
2016-08-02 05:59:59.933,331.89999999999964,933.6999999999998,-162.0999999999999,83.40000000000009
2016-08-02 06:14:59.933,333.0999999999999,933.6999999999998,-163.5,80.69999999999982
2016-08-02 06:29:59.933,332.5,933.6999999999998,-164.5999999999999,78.69999999999982
2016-08-02 06:44:59.933,328.7999999999997,935,-169.19999999999982,70
2016-08-02 06:59:59.933,323.7999999999997,935,-184.4000000000001,52
2016-08-02 07:14:59.933,312.6999999999998,933.6999999999998,-199,36.59999999999991
2016-08-02 07:29:59.933,296,933.1000000000004,-217.5,19.40000000000009
2016-08-02 07:44:59.933,278.1999999999998,926.6000000000004,-235.9000000000001,5.400000000000091
2016-08-02 07:59:59.933,262.5999999999999,916.3999999999996,-250.5,-4.599999999999909
2016-08-02 08:14:59.933,241.0999999999999,911.8999999999996,-264.5,-20
2016-08-02 08:29:59.933,228.69999999999982,908.1000000000004,-284.1999999999998,-28.699999999999818
2016-08-02 08:44:59.933,219.39999999999964,911.1999999999998,-307.0999999999999,-38.69999999999982
2016-08-02 08:59:59.933,202.0999999999999,915.1000000000004,-325.5999999999999,-45.40000000000009
2016-08-02 09:14:59.933,187.29999999999973,917,-335.6999999999998,-44
2016-08-02 09:29:59.933,178,924.1000000000004,-340.0999999999999,-35.40000000000009
2016-08-02 09:44:59.933,168.0999999999999,932.3999999999996,-335.6999999999998,-31.40000000000009
2016-08-02 09:59:59.933,157.5999999999999,934.3000000000002,-331.9000000000001,-19.40000000000009
2016-08-02 10:14:59.933,154.5,934.3000000000002,-326.1999999999998,-6
2016-08-02 10:29:59.933,149.5,931.1999999999998,-321.7999999999997,2.599999999999909
2016-08-02 10:44:59.933,146.5,927.3000000000002,-326.1999999999998,5.400000000000091
2016-08-02 10:59:59.933,138.39999999999964,918.3000000000002,-330.5999999999999,4
2016-08-02 11:14:59.933,119.29999999999973,904.1999999999998,-335.0999999999999,-0.599999999999909
2016-08-02 11:29:59.933,101.29999999999973,886.8999999999996,-345.2999999999997,-10.599999999999909
2016-08-02 11:44:59.933,87.19999999999982,876.5,-359.1999999999998,-26.699999999999818
2016-08-02 11:59:59.933,66.09999999999991,858,-368.0999999999999,-50
2016-08-02 12:14:59.933,46.399999999999636,836.8000000000002,-385.9000000000001,-72.69999999999982
2016-08-02 12:29:59.933,23.399999999999636,814.8999999999996,-407.5999999999999,-100.69999999999982
2016-08-02 12:44:59.933,-0.7000000000002728,789.3000000000002,-426.6999999999998,-136.69999999999982
2016-08-02 12:59:59.933,-24.800000000000182,762.8999999999996,-443.0999999999999,-168.69999999999982
2016-08-02 13:14:59.933,-53.20000000000027,737.3000000000002,-463.5,-209.5
2016-08-02 13:29:59.933,-79.10000000000036,710.8999999999996,-482.5999999999999,-250.19999999999982
2016-08-02 13:44:59.933,-110.70000000000027,680.1000000000004,-505.5,-284.1999999999998
2016-08-02 13:59:59.933,-133.5,658.3000000000002,-520.1999999999998,-312.8000000000002
2016-08-02 14:14:59.933,-168.10000000000036,628.8000000000002,-541.6999999999998,-348.1999999999998
2016-08-02 14:29:59.933,-202.10000000000036,585.6999999999998,-565.9000000000001,-377.5999999999999
2016-08-02 14:44:59.933,-235.5,539.5,-577.4000000000001,-402.3000000000002
2016-08-02 14:59:59.933,-264,497.8000000000002,-592.5999999999999,-418.3000000000002
2016-08-02 15:14:59.933,-294.2000000000003,455.5,-604.6999999999998,-430.3000000000002
2016-08-02 15:29:59.933,-318.3000000000002,407.3000000000002,-609.0999999999999,-442.9000000000001
2016-08-02 15:44:59.933,-343.7000000000003,360.39999999999964,-607.9000000000001,-453.6999999999998
2016-08-02 15:59:59.933,-361.60000000000036,320.60000000000036,-606,-464.9000000000001
2016-08-02 16:14:59.933,-375.8000000000002,289.10000000000036,-596.5,-476.3000000000002
2016-08-02 16:29:59.933,-387.5,266.6999999999998,-594.5,-486.9000000000001
2016-08-02 16:44:59.933,-399.3000000000002,250.5999999999999,-585,-499
2016-08-02 16:59:59.933,-404.2000000000003,245.5,-576.0999999999999,-500.3000000000002
2016-08-02 17:14:59.933,-408.60000000000036,240.30000000000018,-561.4000000000001,-504.3000000000002
2016-08-02 17:29:59.933,-408.60000000000036,246.0999999999999,-555.0999999999999,-499
2016-08-02 17:44:59.933,-395.60000000000036,255.10000000000036,-545.5,-491.6999999999998
2016-08-02 17:59:59.933,-377.7000000000003,264.10000000000036,-535.4000000000001,-484.3000000000002
2016-08-02 18:14:59.933,-353,281.39999999999964,-516.9000000000001,-470.9000000000001
2016-08-02 18:29:59.933,-323.9000000000001,303.3000000000002,-503,-448.9000000000001
2016-08-02 18:44:59.933,-288.10000000000036,332.1999999999998,-482,-425.6999999999998
2016-08-02 18:59:59.933,-246.60000000000036,363,-465.4000000000001,-394.9000000000001
2016-08-02 19:14:59.933,-204.60000000000036,399.60000000000036,-446.4000000000001,-358.9000000000001
2016-08-02 19:29:59.933,-158.30000000000018,441.3000000000002,-429.1999999999998,-326.1999999999998
2016-08-02 19:44:59.933,-117.5,479.8000000000002,-408.1999999999998,-289.5999999999999
2016-08-02 19:59:59.933,-74.10000000000036,518.3000000000002,-385.9000000000001,-253.5
2016-08-02 20:14:59.933,-34.600000000000364,553,-366.1999999999998,-224.80000000000018
2016-08-02 20:29:59.933,-1.300000000000182,582.6000000000004,-351.5999999999999,-196.80000000000018
2016-08-02 20:44:59.933,29,617.1999999999998,-339.5,-174.0999999999999
