Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media,media alta variabilidad
LTP Area_0.9_10,mean(LTP),0.9,10,0.062935884,0.005645839,-0.08347751,0.046332812,0.035977484,0.229880135,0.151655373,0.704172592,0.655155986,0.817251785,0.284732722,0.511623174
LTP Area_0.95_4,mean(LTP),0.95,4,0.09166431,0.051798448,-0.063349122,0.067487994,0.079574567,0.197323851,0.087653531,0.71498778,0.691050383,0.865024266,0.2990613,0.511207962
LTP Area_0.9_4,mean(LTP),0.9,4,0.093533438,0.053166234,-0.061943967,0.069762497,0.082786189,0.194703457,0.082571258,0.715291775,0.693779075,0.866097788,0.299579367,0.51048867
LTP Area_0.8_4,mean(LTP),0.8,4,0.097503424,0.056400504,-0.059252775,0.073931115,0.089050216,0.189086503,0.071689915,0.71523862,0.698184994,0.867322351,0.300183494,0.508304477
LTP Area_0.95_100,mean(LTP),0.95,100,,,3.37E-17,3.53E-17,,0.686764952,0.996587431,-0.107254533,0.241012033,0.714996623,0.281345167,0.506421301
LTP Area_0.95_10,mean(LTP),0.95,10,0.051362151,-0.009331695,-0.085864784,0.040576204,0.023560169,0.238057846,0.168377024,0.701704516,0.628326768,0.791322919,0.27741433,0.505557815
LTP Area_n0_1_0.8_100,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.8,100,,,5.82E-17,1.50E-16,0.003420275,0.552293939,0.952188357,-0.050383252,0.500174546,0.572807432,0.281166811,0.505416204
LTP Area_0.99_3,mean(LTP),0.99,3,0.09400477,0.049091563,-0.052302215,0.084421547,0.091733054,0.188174313,0.070399144,0.712957075,0.68747609,0.865175454,0.29968067,0.504836415
LTP Area_0.95_3,mean(LTP),0.95,3,0.095204033,0.050414806,-0.05193927,0.084883266,0.0924721,0.186844007,0.067746296,0.713188272,0.68904581,0.86545623,0.299790168,0.504456123
LTP Area_0.9_3,mean(LTP),0.9,3,0.096761659,0.052171631,-0.051516594,0.085369175,0.093398223,0.185099659,0.064278417,0.713366924,0.690889885,0.865670637,0.299858662,0.503861104
LTP Area_0.8_3,mean(LTP),0.8,3,0.100056606,0.056037759,-0.050815537,0.085940054,0.095230643,0.18133745,0.056841817,0.713272624,0.694041565,0.865533466,0.299713316,0.502205384
LTP Area_0.99_10,mean(LTP),0.99,10,0.041557148,-0.021668872,-0.087506576,0.036175426,0.013430451,0.244171476,0.181001117,0.699395499,0.603156173,0.767207238,0.27059577,0.498986301
LTP Area_0.99_2,mean(LTP),0.99,2,0.10045121,0.056568153,-0.041464947,0.099180058,0.09436634,0.176168104,0.045723949,0.712064994,0.688723906,0.862150421,0.299275664,0.496966275
LTP Area_0.95_2,mean(LTP),0.95,2,0.101322294,0.057656779,-0.041705999,0.098593329,0.092659745,0.175399516,0.044234466,0.712023576,0.689489992,0.862012695,0.298929344,0.496632049
