Fecha,TDV Control (µm) P1,TDV Control (µm) P12,TDV 45RDI-PB (µm) P6,TDV 45RDI-PB (µm) P8,TDV 45RDI-CC (µm) P3,TDV 45RDI-CC (µm) P5
2015-08-02 03:14:31.135,-54.5,111,42218.135082581015,-54.5,-1051.1,-1131.2000000000003
2015-08-02 03:29:31.130,-52.5,110.39999999999986,42218.14549918981,-52.5,-1056,-1131.8000000000002
2015-08-02 03:44:31.125,-46.700000000000045,113,42218.15591579861,-46.700000000000045,-1054.1999999999998,-1136.5
2015-08-02 03:59:31.120,-46.700000000000045,118.09999999999991,42218.16633240741,-46.700000000000045,-1054.6999999999998,-1138.5
2015-08-02 04:14:31.115,-41.59999999999991,127.20000000000005,42218.1767490162,-41.59999999999991,-1057.1999999999998,-1140.5
2015-08-02 04:29:31.110,-40.299999999999955,126.39999999999986,42218.187165625,-40.299999999999955,-1057.7999999999997,-1144.5
2015-08-02 04:44:31.105,-33.799999999999955,132.20000000000005,42218.1975822338,-33.799999999999955,-1056.5,-1143.7000000000003
2015-08-02 04:59:31.100,-26.59999999999991,134.89999999999986,42218.20799884259,-26.59999999999991,-1055.4,-1142.5
2015-08-02 05:14:31.095,-30.5,141.79999999999995,42218.21841545139,-30.5,-1056.5,-1139.1
2015-08-02 05:29:31.090,-26,139.89999999999986,42218.22883206019,-26,-1058.4,-1140.5
2015-08-02 05:44:31.085,-24.09999999999991,143.79999999999995,42218.23924866898,-24.09999999999991,-1056.5,-1140.5
2015-08-02 05:59:31.080,-22.799999999999955,141.20000000000005,42218.24966527778,-22.799999999999955,-1060.1999999999998,-1147.1
2015-08-02 06:14:31.075,-31.90000000000009,136.0999999999999,42218.260081886576,-31.90000000000009,-1059.6,-1143.7000000000003
2015-08-02 06:29:31.070,-35,129.70000000000005,42218.27049849537,-35,-1065.6,-1138.5
2015-08-02 06:44:31.065,-42.799999999999955,122.59999999999991,42218.280915104166,-42.799999999999955,-1070.5,-1141.8000000000002
2015-08-02 06:59:31.060,-50,118.09999999999991,42218.291331712964,-50,-1072.9,-1143.7000000000003
2015-08-02 07:14:31.055,-63,104.59999999999991,42218.30174832176,-63,-1077.7999999999997,-1135.8000000000002
2015-08-02 07:29:31.050,-78.5,94.39999999999986,42218.312164930554,-78.5,-1082.6999999999998,-1126.6
2015-08-02 07:44:31.045,-89.5,79.59999999999991,42218.32258153935,-89.5,-1092.9,-1130.6
2015-08-02 07:59:31.040,-108.90000000000009,62.899999999999864,42218.33299814815,-108.90000000000009,-1107.5,-1135.8000000000002
2015-08-02 08:14:31.035,-124.5,47.5,42218.34341475694,-124.5,-1119.1,-1140.5
2015-08-02 08:29:31.030,-147.20000000000005,34,42218.35383136574,-147.20000000000005,-1132.9,-1152.4
2015-08-02 08:44:31.025,-181.5999999999999,19.299999999999955,42218.36424797454,-181.5999999999999,-1150.5,-1155.7000000000003
2015-08-02 08:59:31.020,-215.79999999999995,-3.7999999999999545,42218.37466458333,-215.79999999999995,-1168.6999999999998,-1159
2015-08-02 09:14:31.015,-238.5999999999999,-23.100000000000136,42218.38508119213,-238.5999999999999,-1182.6999999999998,-1157.6
2015-08-02 09:29:31.010,-248.29999999999995,-35.40000000000009,42218.39549780093,-248.29999999999995,-1194.1999999999998,-1163.6
2015-08-02 09:44:31.005,-250.20000000000005,-45.600000000000136,42218.40591440972,-250.20000000000005,-1200.9,-1167.6
2015-08-02 09:59:31.000,-254.70000000000005,-60.40000000000009,42218.41633101852,-254.70000000000005,-1208.1999999999998,-1175.5
2015-08-02 10:14:30.995,-258,-68.10000000000014,42218.426747627316,-258,-1218.4,-1182.8000000000002
2015-08-02 10:29:30.990,-270.29999999999995,-78.29999999999995,42218.43716423611,-270.29999999999995,-1223.2999999999997,-1181.5
2015-08-02 10:44:30.985,-272.20000000000005,-89.90000000000009,42218.447580844906,-272.20000000000005,-1231.7999999999997,-1191.4
2015-08-02 10:59:30.980,-285.20000000000005,-113.60000000000014,42218.457997453705,-285.20000000000005,-1235.4,-1202.7000000000003
2015-08-02 11:14:30.975,-297.5,-127.79999999999995,42218.4684140625,-297.5,-1238.4,-1214.6
2015-08-02 11:29:30.970,-309.20000000000005,-147.70000000000005,42218.478830671294,-309.20000000000005,-1243.7999999999997,-1220.6
2015-08-02 11:44:30.965,-323.5,-166.29999999999995,42218.48924728009,-323.5,-1248.6999999999998,-1228.5
2015-08-02 11:59:30.960,-335.79999999999995,-191.4000000000001,42218.49966388889,-335.79999999999995,-1254.6999999999998,-1233.8000000000002
2015-08-02 12:14:30.955,-351.9000000000001,-216.4000000000001,42218.51008049768,-351.9000000000001,-1256,-1237.1
2015-08-02 12:29:30.950,-361.5999999999999,-243.4000000000001,42218.52049710648,-361.5999999999999,-1264.5,-1239.8000000000002
2015-08-02 12:44:30.945,-377.20000000000005,-265.79999999999995,42218.53091371528,-377.20000000000005,-1272.9,-1249
2015-08-02 12:59:30.940,-392.0999999999999,-285.70000000000005,42218.54133032407,-392.0999999999999,-1274.1999999999998,-1260.3000000000002
2015-08-02 13:14:30.935,-414.9000000000001,-306.9000000000001,42218.55174693287,-414.9000000000001,-1283.7999999999997,-1267.6
2015-08-02 13:29:30.930,-427.0999999999999,-342.79999999999995,42218.56216354167,-427.0999999999999,-1286.2999999999997,-1274.8000000000002
2015-08-02 13:44:30.925,-445.20000000000005,-367.79999999999995,42218.57258015046,-445.20000000000005,-1290,-1282.8000000000002
2015-08-02 13:59:30.920,-460.79999999999995,-392.9000000000001,42218.58299675926,-460.79999999999995,-1294.1999999999998,-1282.1
2015-08-02 14:14:30.915,-486.0999999999999,-418.60000000000014,42218.59341336806,-486.0999999999999,-1296.6,-1280.8000000000002
2015-08-02 14:29:30.910,-503,-440.4000000000001,42218.603829976855,-503,-1308.6999999999998,-1289.5
2015-08-02 14:44:30.905,-517.9000000000001,-466.79999999999995,42218.61424658565,-517.9000000000001,-1315.4,-1297.4
2015-08-02 14:59:30.900,-528.2,-486.60000000000014,42218.624663194445,-528.2,-1320.9,-1298.6
2015-08-02 15:14:30.895,-541.2,-499.5,42218.63507980324,-541.2,-1326.9,-1313.9
2015-08-02 15:29:30.890,-547.1,-509.20000000000005,42218.645496412035,-547.1,-1333.6,-1314.5
2015-08-02 15:44:30.885,-543.2,-508.4000000000001,42218.65591302083,-543.2,-1339.6,-1334.4
2015-08-02 15:59:30.880,-542.4,-510.4000000000001,42218.66632962963,-542.4,-1345.6999999999998,-1335.1
2015-08-02 16:14:30.875,-557.4,-505.9000000000001,42218.67674623842,-557.4,-1353.6,-1345.1
2015-08-02 16:29:30.870,-551,-508.4000000000001,42218.68716284722,-551,-1355.4,-1355.6
2015-08-02 16:44:30.865,-563.2,-514.9000000000001,42218.69757945602,-563.2,-1368.6999999999998,-1366.2000000000003
2015-08-02 16:59:30.860,-569.7,-523.2,42218.70799606481,-569.7,-1371.1,-1375.5
2015-08-02 17:14:30.855,-572.9,-534.2,42218.71841267361,-572.9,-1379.1,-1393.3000000000002
2015-08-02 17:29:30.850,-574.9,-545.8,42218.72882928241,-574.9,-1385.6999999999998,-1396.7000000000003
2015-08-02 17:44:30.845,-572.3,-541.9000000000001,42218.73924589121,-572.3,-1390.6,-1391.4
2015-08-02 17:59:30.840,-567.7,-538,42218.7496625,-567.7,-1393.6,-1392
2015-08-02 18:14:30.835,-562.6,-521.3,42218.7600791088,-562.6,-1400.1999999999998,-1393.3000000000002
2015-08-02 18:29:30.830,-548.3,-503.4000000000001,42218.770495717596,-548.3,-1403.9,-1401.9
2015-08-02 18:44:30.825,-526.3,-477,42218.78091232639,-526.3,-1410,-1404.6
2015-08-02 18:59:30.820,-503,-450.70000000000005,42218.791328935185,-503,-1413,-1407.2000000000003
2015-08-02 19:14:30.815,-473.79999999999995,-416,42218.801745543984,-473.79999999999995,-1418.4,-1407.2000000000003
2015-08-02 19:29:30.810,-447.9000000000001,-380.70000000000005,42218.812162152775,-447.9000000000001,-1420.1999999999998,-1415.8000000000002
2015-08-02 19:44:30.805,-418,-347.4000000000001,42218.822578761574,-418,-1420.1999999999998,-1419.2000000000003
2015-08-02 19:59:30.800,-391.5,-313.29999999999995,42218.83299537037,-391.5,-1422,-1421.1
2015-08-02 20:14:30.795,-366.29999999999995,-285.70000000000005,42218.843411979164,-366.29999999999995,-1425.6999999999998,-1425.1
2015-08-02 20:29:30.790,-344.0999999999999,-256.10000000000014,42218.85382858796,-344.0999999999999,-1423.9,-1425.7000000000003
2015-08-02 20:44:30.785,-322.79999999999995,-232.4000000000001,42218.86424519676,-322.79999999999995,-1425.6999999999998,-1423.1
2015-08-02 20:59:30.780,-308.5,-212.5,42218.87466180555,-308.5,-1426.9,-1431.7000000000003
2015-08-02 21:14:30.775,-293.5999999999999,-191.4000000000001,42218.88507841435,-293.5999999999999,-1430,-1437
2015-08-02 21:29:30.770,-272.9000000000001,-168.20000000000005,42218.89549502315,-272.9000000000001,-1431.7999999999997,-1439.6
2015-08-02 21:44:30.765,-260.5,-150.20000000000005,42218.90591163195,-260.5,-1435.5,-1445.6
2015-08-02 21:59:30.760,-248.9000000000001,-128.4000000000001,42218.91632824074,-248.9000000000001,-1434.1999999999998,-1450.9
2015-08-02 22:14:30.755,-235.29999999999995,-112.40000000000009,42218.92674484954,-235.29999999999995,-1438.4,-1454.9
2015-08-02 22:29:30.750,-228.20000000000005,-100.10000000000014,42218.937161458336,-228.20000000000005,-1440.1999999999998,-1458.9
2015-08-02 22:44:30.745,-213.9000000000001,-83.5,42218.94757806713,-213.9000000000001,-1445.1,-1466.2000000000003
2015-08-02 22:59:30.740,-204.9000000000001,-73.10000000000014,42218.957994675926,-204.9000000000001,-1445.1,-1466.2000000000003
2015-08-02 23:14:30.735,-190,-57.700000000000045,42218.968411284724,-190,-1451.1,-1476.7000000000003
2015-08-02 23:29:30.730,-178.9000000000001,-48.100000000000136,42218.978827893516,-178.9000000000001,-1451.1,-1483.3000000000002
2015-08-02 23:44:30.725,-174.4000000000001,-36,42218.989244502314,-174.4000000000001,-1453,-1484.1
2015-08-02 23:59:30.720,-165.29999999999995,-25,42218.99966111111,-165.29999999999995,-1456,-1486.7000000000003
2015-08-03 00:14:30.715,-156.9000000000001,-15.400000000000091,42219.010077719904,-156.9000000000001,-1458.4,-1489.3000000000002
2015-08-03 00:29:30.710,-146.5999999999999,-12.799999999999955,42219.0204943287,-146.5999999999999,-1462,-1498
2015-08-03 00:44:30.705,-138.79999999999995,-2.6000000000001364,42219.0309109375,-138.79999999999995,-1464.5,-1501.9
2015-08-03 00:59:30.700,-135.5,4.5,42219.0413275463,-135.5,-1465.1,-1501.9
2015-08-03 01:14:30.695,-129.70000000000005,12.200000000000045,42219.05174415509,-129.70000000000005,-1467.5,-1503.2000000000003
2015-08-03 01:29:30.690,-123.20000000000005,18,42219.06216076389,-123.20000000000005,-1468.1999999999998,-1512.5
2015-08-03 01:44:30.685,-116.09999999999991,27.59999999999991,42219.07257737269,-116.09999999999991,-1471.7999999999997,-1514.5
2015-08-03 01:59:30.680,-112.20000000000005,28.200000000000045,42219.08299398148,-112.20000000000005,-1475.5,-1521.8000000000002
2015-08-03 02:14:30.675,-108.90000000000009,38.59999999999991,42219.09341059028,-108.90000000000009,-1477.2999999999997,-1519.8000000000002
2015-08-03 02:29:30.670,-101.90000000000009,44.299999999999955,42219.10382719908,-101.90000000000009,-1477.2999999999997,-1525.8000000000002
2015-08-03 02:44:30.665,-92.70000000000005,50.700000000000045,42219.11424380787,-92.70000000000005,-1476.6,-1524.4
2015-08-03 02:59:30.660,-94.09999999999991,54.59999999999991,42219.124660416666,-94.09999999999991,-1478.4,-1529
