,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control-2L_1,2016-08-06,1.0,1.0,0.0,0.926751510274755,0.07316242126262607,8.606846261900394e-05
LTP Control-2L_1,2016-08-07,1.0,1.0,0.0,0.9187017973793488,0.08121145981487776,8.674280577352267e-05
LTP Control-2L_1,2016-08-08,1.0,1.0,0.0,0.8892121389404718,0.11063907081911896,0.0001487902404093347
LTP Control-2L_1,2016-08-09,1.0,1.0,0.0,0.9338662505067538,0.06607874114111076,5.500835213546419e-05
LTP Control-2L_1,2016-08-10,1.0,1.0,0.0,0.9216269214828325,0.07830689515632158,6.618336084586381e-05
LTP Control-2L_1,2016-08-11,1.0,1.0,0.0,0.9258737131657944,0.07406320144410455,6.308539010102047e-05
LTP Control-2L_1,2016-08-12,1.0,1.0,0.0,0.9318804241147713,0.06807142503390025,4.815085132832133e-05
LTP Control-2L_1,2016-08-13,1.0,1.0,0.0,0.9351644456368727,0.06478917519149496,4.637917163226027e-05
LTP Control-2L_1,2016-08-14,1.0,1.0,0.0,0.9301732022752858,0.06977051547142761,5.628225328665433e-05
LTP Control-2L_1,2016-08-15,1.0,1.0,0.0,0.9470568490086216,0.05293052947837983,1.2621512998573266e-05
LTP Control-2L_1,2016-08-16,1.0,1.0,0.0,0.9508925015619826,0.04909204080122601,1.5457636791407912e-05
LTP Control-2L_1,2016-08-17,1.0,1.0,0.0,0.9442563537805069,0.05570634551163316,3.73007078601018e-05
LTP Control-2L_1,2016-08-18,1.0,1.0,0.0,0.9368281059206827,0.06313326043134616,3.863364797127852e-05
LTP Control-2L_1,2016-08-19,1.0,1.0,0.0,0.9488145846183129,0.05115327617640133,3.213920528582724e-05
LTP Control-2L_1,2016-08-20,1.0,1.0,0.0,0.938135066653137,0.06182088427917712,4.404906768578364e-05
LTP Control-2L_1,2016-08-21,1.0,1.0,0.0,0.9343206367799864,0.06559642533018435,8.293788982925718e-05
LTP Control-2L_1,2016-08-22,1.0,1.0,0.0,0.9387795544600921,0.06117602783245039,4.441770745746825e-05
LTP Control-2L_1,2016-08-23,1.0,1.0,0.0,0.9403992522331319,0.05954282352096084,5.792424590720631e-05
LTP Control-2L_1,2016-08-24,1.0,1.0,0.0,0.9447141163775773,0.05523584874933362,5.0034873089155134e-05
LTP Control-2L_1,2016-08-25,1.0,1.0,0.0,0.9399155799266335,0.06003359647146191,5.0823601904530196e-05
LTP Control-2L_1,2016-08-26,1.0,1.0,0.0,0.941365978002914,0.05856597897345911,6.804302362698956e-05
LTP Control-2L_1,2016-08-27,1.0,1.0,0.0,0.9532327472607061,0.046730107541918246,3.714519737569437e-05
LTP Control-2L_1,2016-08-28,1.0,1.0,0.0,0.9358162622984347,0.06413136308661656,5.2374614948667126e-05
LTP Control-2L_1,2016-08-29,1.0,1.0,0.0,0.9423404064816487,0.05759482889185959,6.476462649174846e-05
LTP Control-2L_1,2016-08-30,1.0,1.0,0.0,0.9296128039852907,0.07032353431176808,6.366170294142684e-05
LTP Control-2L_1,2016-08-31,1.0,1.0,0.0,0.9805694674307209,0.019426145233441973,4.387335836982531e-06
LTP Control-2L_1,2016-09-01,1.0,1.0,0.0,0.9823261470636728,0.01766269092807035,1.116200825691789e-05
