id,date,pk,bk,ctend,bk1,T_Amb_Avg,H_Relat_Avg,R_Neta_Avg,VPD_Avg,Y
TDV Control2,2015-06-18,-2.0,0.49847412109375,-54.599999999999994,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
TDV 45RDI-PB1,2015-06-18,-1.0,0.74542236328125,-118.80000000000001,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
TDV 45RDI-PB2,2015-06-18,-2.0,0.43304443359375,-53.89999999999998,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
TDV 45RDI-CC1,2015-06-18,-2.0,0.40081787109375,-21.299999999999983,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
TDV 45RDI-CC2,2015-06-18,-2.0,0.46331787109375,-29.199999999999996,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
TDV Control1,2015-06-19,-3.0,0.217987060546875,-104.2,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,1.0
TDV Control2,2015-06-19,-3.0,0.249237060546875,-59.0,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,1.0
TDV 45RDI-PB1,2015-06-19,-2.0,0.372711181640625,-75.20000000000002,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,1.0
TDV 45RDI-PB2,2015-06-19,-3.0,0.216522216796875,-80.29999999999998,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,1.0
TDV 45RDI-CC1,2015-06-19,-3.0,0.200408935546875,-23.69999999999999,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,0.0
TDV 45RDI-CC2,2015-06-19,-3.0,0.231658935546875,-31.099999999999994,0.0,26.332694444444446,43.81490625,176.65275347224306,2.376815972222222,1.0
TDV Control1,2015-06-20,-4.0,0.1089935302734375,-123.1,0.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,1.0
TDV Control2,2015-06-20,-4.0,0.1246185302734375,-61.70000000000002,0.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,1.0
TDV 45RDI-PB1,2015-06-20,-3.0,0.1863555908203125,-107.9,0.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,1.0
TDV 45RDI-PB2,2015-06-20,1.0,1.1082611083984375,-64.89999999999998,1.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,0.0
TDV 45RDI-CC1,2015-06-20,-4.0,0.1002044677734375,-46.69999999999999,0.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,1.0
TDV 45RDI-CC2,2015-06-20,1.0,1.1158294677734375,-25.19999999999999,1.0,26.86076388888889,43.49062847222222,167.56046180553471,2.4376927083333335,0.0
TDV Control1,2015-06-21,-5.0,0.05449676513671875,-197.5,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV Control2,2015-06-21,-5.0,0.06230926513671875,-102.10000000000001,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV 45RDI-PB1,2015-06-21,-4.0,0.09317779541015625,-202.9,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV 45RDI-PB2,2015-06-21,-1.0,0.5541305541992188,-123.80000000000001,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV 45RDI-CC1,2015-06-21,-5.0,0.05010223388671875,-94.6,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV 45RDI-CC2,2015-06-21,-1.0,0.5579147338867188,-27.200000000000003,0.0,24.22484722222222,55.645263888888884,129.19437847224305,1.5378666666666665,1.0
TDV Control1,2015-06-22,1.0,1.0272483825683594,-55.599999999999994,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,0.0
TDV Control2,2015-06-22,1.0,1.0311546325683594,28.19999999999999,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,0.0
TDV 45RDI-PB1,2015-06-22,1.0,1.0465888977050781,-32.20000000000002,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,0.0
TDV 45RDI-PB2,2015-06-22,1.0,1.2770652770996094,192.60000000000002,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,1.0
TDV 45RDI-CC1,2015-06-22,1.0,1.0250511169433594,-18.799999999999983,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,0.0
TDV 45RDI-CC2,2015-06-22,1.0,1.2789573669433594,79.5,1.0,22.681951388888887,66.55603819444445,149.73439583333334,1.0278302083333333,0.0
TDV Control1,2015-06-28,-5.0,0.047300755977630615,-585.9,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,1.0
TDV Control2,2015-06-28,-5.0,0.047361791133880615,-424.70000000000005,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,1.0
TDV 45RDI-PB1,2015-06-28,-1.0,0.5476029515266418,-520.0,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,2.0
TDV 45RDI-PB2,2015-06-28,-1.0,0.6762041449546814,-496.9,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,1.0
TDV 45RDI-CC1,2015-06-28,-1.0,0.67226642370224,-640.40666667,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,2.0
TDV 45RDI-CC2,2015-06-28,-1.0,0.67623370885849,-457.4,0.0,30.006284722222226,32.165586805555556,163.16293402777777,3.4320368055555552,1.0
TDV Control1,2015-06-29,1.0,1.0236503779888153,-521.0,1.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,0.0
TDV Control2,2015-06-29,1.0,1.0236808955669403,-410.9,1.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,0.0
